,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID,GeneName
AT3G53370,10.7030674816923,1.80974214730945,8.30967746973587,0,0,0.162668647061352,0.0540813829484975,0.325731713268457,0.0411661213686832,0,0,AT3G53370,AT3G53370
LRL3,11.4714841767262,3.37946123132324,8.09202294540301,0,0,0,0,0,0,0,0,AT5G58010,LRL3
RHD6,10.231879433743,3.04391931636735,7.18796011737562,0,0,0,0,0,0,0,0,AT1G66470,RHD6
AT4G09100,5.31950163370554,0.236489354216491,5.08301227948905,0,0,0,0,0,0,0,0,AT4G09100,AT4G09100
RSL4,5.16726107044367,0.110264728861188,5.05699634158248,0,0,0,0,0,0,0,0,AT1G27740,RSL4
RSL2,4.52444121116934,0.0513789535249921,4.47306225764435,0,0,0,0,0,0,0,0,AT4G33880,RSL2
RAP2.11,3.21020447703759,0,3.19766311807323,0,0,0,0,0.0125413589643589,0,0,0,AT5G19790,RAP2.11
AT4G39160,3.55431803219247,0.22367456296529,3.18904836385286,0,0.0124282982791587,0.00438482791932272,0.0201741450301175,0,0.0473212916537897,0.00903524198125578,0.0482513005106784,AT4G39160,AT4G39160
AT5G56200,3.18177271885719,0,3.18177271885719,0,0,0,0,0,0,0,0,AT5G56200,AT5G56200
AT2G37120,5.04490513524912,0.828925740846443,2.58310757318113,0.0552633836053769,0.156456222304393,0.179113807079974,0.0162838770987553,0.974156108864279,0.118228679262346,0.129591336567043,0.00377840643938297,AT2G37120,AT2G37120
ESE3,2.68330900104629,0.119329105253635,2.206075219625,0.205807145528481,0.142115650254378,0,0,0,0,0,0.0099818803847924,AT5G25190,ESE3
WRKY61,4.25987056450957,2.10993723853252,2.14993332597705,0,0,0,0,0,0,0,0,AT1G18860,WRKY61
AT5G06800,2.8664486966495,1.07728136220627,1.7375094651062,0,0.0129879607370922,0.00590955671571181,0,0,0.0327603518842272,0,0,AT5G06800,AT5G06800
WRKY70,2.61673551734643,0.362206667202258,1.54360584164862,0,0,0.0739522733722439,0.367918322890202,0.0182636825728231,0.00333954065797641,0.130639554930878,0.116809634071421,AT3G56400,WRKY70
RL6,1.53396194145988,0,1.53396194145988,0,0,0,0,0,0,0,0,AT1G75250,RL6
WRKY72,2.63120931336406,0.397527208440732,1.33007016689816,0,0,0,0,0,0,0.717404860990746,0.186207077034422,AT5G15130,WRKY72
GL3,1.26422394010521,0.268798575703649,0.978997438408704,0.01642792599286,0,0,0,0,0,0,0,AT5G41315,GL3
AT1G61990,1.64654332911362,0.308764612596458,0.924735513469882,0.107070377886738,0.121099269377205,0.107694174885886,0.0442303269581657,0.00250827179287179,0,0.0196927594354818,0.0107480227109315,AT1G61990,AT1G61990
TAFII15,1.4990916636438,0.0574740929297646,0.761413980532502,0.00388002408550353,0.0312486858253591,0.132966342346945,0.143262048657992,0.204642632303797,0.155406349294084,0,0.00879750766784782,AT4G31720,TAFII15
AT2G05160,0.724767537630434,0.0548121654931551,0.662710898636503,0,0,0,0,0,0.00724447350077507,0,0,AT2G05160,AT2G05160
AT2G20030,0.700484312768344,0.0734842008968072,0.627000111871537,0,0,0,0,0,0,0,0,AT2G20030,AT2G20030
AT5G04390,0.592985046174931,0.00373134328358209,0.577765006286396,0,0,0,0,0,0,0,0.0114886966049532,AT5G04390,AT5G04390
MC2,1.03198727025282,0.456245533690607,0.575741736562208,0,0,0,0,0,0,0,0,AT4G25110,MC2
WRKY42,1.09505342196342,0.181274511377197,0.565437156194842,0,0,0,0,0,0,0.248962871271355,0.0993788831200241,AT4G04450,WRKY42
SUVR4,0.382088900484255,0.0136902278227489,0.294552530891594,0.0115830115830116,0,0,0,0,0,0.0224987654782323,0.0397643647086682,AT3G04380,SUVR4
AT3G22560,0.361986289423241,0.106681071565349,0.255305217857891,0,0,0,0,0,0,0,0,AT3G22560,AT3G22560
RAD54,0.280632949059894,0,0.155946721893644,0.0321818478083755,0,0.0113974506402203,0,0,0,0.0691125273426447,0.0119944013750096,AT3G19210,RAD54
MYB47,0.258138934792557,0.109314549018533,0.141176202217619,0,0.00764818355640536,0,0,0,0,0,0,AT1G18710,MYB47
EIL2,0.138109081960073,0,0.138109081960073,0,0,0,0,0,0,0,0,AT5G21120,EIL2
AT2G14760,0.131975607449508,0,0.131975607449508,0,0,0,0,0,0,0,0,AT2G14760,AT2G14760
AGL87,0.139175318185678,0.0330999432884003,0.106075374897278,0,0,0,0,0,0,0,0,AT1G22590,AGL87
AT2G17600,0.105079546633852,0,0.105079546633852,0,0,0,0,0,0,0,0,AT2G17600,AT2G17600
ASG3,0.153960813115549,0.0186567164179104,0.103988574167721,0,0.00286806883365201,0.00298230337514319,0.0254651503211228,0,0,0,0,AT2G44980,ASG3
AT1G02040,0.0575329146609711,0,0.0575329146609711,0,0,0,0,0,0,0,0,AT1G02040,AT1G02040
BPC5,0.0678389088226046,0.0132399773153601,0.0545989315072445,0,0,0,0,0,0,0,0,AT4G38910,BPC5
SUVH2,0.0885956276146903,0,0.0481571483147752,0,0.00286806883365201,0.00298230337514319,0.025745175670786,0,0.00884293142033382,0,0,AT2G33290,SUVH2
NAC005,0.0320320456734341,0,0.0320320456734341,0,0,0,0,0,0,0,0,AT1G02250,NAC005
IAA34,0.0248047385975963,0,0.0248047385975963,0,0,0,0,0,0,0,0,AT1G15050,IAA34
CIA2,0.0385345939757285,0.0101535575622737,0.0245569446352521,0,0.00382409177820268,0,0,0,0,0,0,AT5G57180,CIA2
AT2G24680,0.0296248285845677,0,0.0169150982277785,0,0,0,0.0127097303567891,0,0,0,0,AT2G24680,AT2G24680
RR14,0.0299765459980221,0,0.0155446085439935,0,0,0,0,0,0,0,0.0144319374540285,AT2G01760,RR14
AT2G28920,0.0126505731601273,0,0.0126505731601273,0,0,0,0,0,0,0,0,AT2G28920,AT2G28920
MYB97,0.00937331200948981,0,0.00937331200948981,0,0,0,0,0,0,0,0,AT4G26930,MYB97
